Страна,Страна (русский),Код страны,Флаг
Afghanistan,Афганистан,+93,🇦🇫
Albania,Албания,+355,🇦🇱
Algeria,Алжир,+21,🇩🇿
American Samoa,Американское Самоа,+684,🇦🇸
Andorra,Андорра,+376,🇦🇩
Angola,Ангола,+244,🇦🇴
Armenia,Армения,+374,🇦🇲
Argentina,Аргентина,+54,🇦🇷
Australia,Австралия,+61,🇦🇺
Austria,Австрия,+43,🇦🇹
Azerbaijan,Азербайджан,+994,🇦🇿
Bahrain,Бахрейн,+973,🇧🇭
Bangladesh,Бангладеш,+880,🇧🇩
Belarus,Белоруссия,+375,🇧🇾
Belgium,Бельгия,+32,🇧🇪
Belize,Белиз,+501,🇧🇿
Benin,Бенин,+229,🇧🇯
Bolivia,Боливия,+591,🇧🇴
Bosnia and Herzegovina,Босния и Герцеговина,+387,🇧🇦
Botswana,Ботсвана,+267,🇧🇼
Brazil,Бразилия,+55,🇧🇷
Brunei Darusalaam,Бруней Даруэсалаам,+673,🇧🇳
Bulgaria,Болгария,+359,🇧🇬
Burkina Faso,Буркина Фасо,+226,🇧🇫
Burundi,Бурунди,+257,🇧🇮
Byelorussian,Россия,+7,🇷🇺
Cambodia,Камбоджа,+855,🇰🇭
Cameroon,Камерун,+237,🇨🇲
Canada,Канада,+1,🇨🇦
Cape Verde,Капе верде,+238,🇨🇻
Central African Republic,Центрально африканская республика,+236,🇨🇫
Chad,Чад,+235,🇹🇩
Chile,Чили,+56,🇨🇱
China,Китай,+86,🇨🇳
Christmas Island,Рождественсткие острова,+672,🇨🇽
Cocos Islands,Кокосовые острова,+672,🇨🇨
Colombia,Колумбия,+57,🇨🇴
Comoros and Mayotte Island,Коморские и майотские(?) острова,+269,🇰🇲
Congo,Конго,+242,🇨🇬
Cook Islands,Острова Кука,+682,🇨🇰
Costa Rica,Коста-Рика,+506,🇨🇷
Croatia,Хорватия,+385,🇭🇷
Cuba,Куба,+53,🇨🇺
Cyprus,Кипр,+357,🇨🇾
Czech Republic,Чешская республика,+420,🇨🇿
Denmark,Дания,+45,🇩🇰
Diego Garcia,Диего Гарсия,+246,🇩🇬
Djibouti,Джибути,+253,🇩🇯
East Timor,Восточный Тимор,+62,🇹🇱
Ecuador,Эквадор,+593,🇪🇨
Egypt,Египет,+20,🇪🇬
El Salvador,Сальвадор,+503,🇸🇻
Equatorial Guinea,Экваториальная Гвинея,+240,🇬🇶
Estonia,Эстония,+372,🇪🇪
Ethiopia,Эфиопия,+251,🇪🇹
Faeroe Islands,Фарерские острова,+298,🇫🇴
Falkland Islands,Фолклендские острова,+500,🇫🇰
Fiji,Фиджи,+679,🇫🇯
Finland,Финляндия,+358,🇫🇮
France,Франция,+33,🇫🇷
French Antilles,Французские Антиллы,+590,🇲🇫
French Guiana,Французская Гвиана,+594,🇬🇫
French Polynesia,Франзузская полинезия,+689,🇵🇫
Gabon,Габон,+241,🇬🇦
Gambia,Гамбия,+220,🇬🇲
Georgia,Грузия,+995,🇬🇪
Germany,Германия,+49,🇩🇪
Ghana,Гана,+233,🇬🇭
Gibraltar,Гибралтар,+350,🇬🇮
Greece,Греция,+30,🇬🇷
Greenland,Гренландия,+299,🇬🇱
Guam,Гуам, +671,🇬🇺
Guatemala,Гватемала,+502,🇬🇹
Guinea,Гвинея,+224,🇬🇳
Guinea-Bissau,Гвинея Биссау,+245,🇬🇼
Guyana,Гайана,+592,🇬🇾
Haiti,Гаити,+509,🇭🇹
Honduras,Гондурас,+504,🇭🇳
Hong Kong,Гон-Конг,+852,🇭🇰
Hungary,Венгрия,+36,🇭🇺
Iceland,исландия,+354,🇮🇸
India,Индия,+91,🇮🇳
Indonesia,Индонезия,+62,🇮🇩
Iran,Иран,+98,🇮🇷
Iraq,Ирак,+964,🇮🇶
Irish Republic,Ирландская республика,+353,🇮🇪
Israel,Израиль,+972,🇮🇱
Italy,Италия,+39,🇮🇹
Ivory Coast,Берег слоновой кости,+225,🇨🇮
Japan,Япония,+81,🇯🇵
Jordan,Иордания,+962,🇯🇴
Kazakhstan,Казахстан,+7,🇰🇿
Kenya,Кения,+254,🇰🇪
Kiribati Republic,Кирибати,+686,🇰🇮
Kirg(h)izia,Кыргызстан,+996,🇰🇬
Kuwait,Кувейт,+965,🇰🇼
Laos,Лаос,+856,🇱🇦
Latvia,Латвия,+371,🇱🇻
Lebanon,Ливан,+961,🇱🇧
Lesotho,Лессото,+266,🇱🇸
Liberia,Либерия,+231,🇱🇷
Libya,Ливия,+21,🇱🇾
Liechtenstein,Лихтенштейн,+41,🇱🇮
Lithuania,Литва,+370,🇱🇹
Luxembourg,Люксембург,+352,🇱🇺
Macao,Макао,+853,🇲🇴
Macedonia,Македония,+389,🇲🇰
Madagascar,Мадагаскар,+261,🇲🇬
Malawi,Малави,+265,🇲🇼
Malaysia,Малайзия,+60,🇲🇾
Maldives,Мальдивы,+960,🇲🇻
Mali,Мали,+223,🇲🇱
Malta,Мальта,+356,🇲🇹
Marshall Islands,Маршалловы острова,+692,🇲🇭
Martinique,Мартиника,+596,🇲🇶
Mauritania,Мавритания,+222,🇲🇷
Mauritius,Маврикий,+230,🇲🇺
Mexico,Мексика, +52,🇲🇽
Micronesia,Микронезия,+691,🇫🇲
Monaco,Монако,+377,🇲🇨
Mongolia,Монголия,+976,🇲🇳
Morocco,Мороко,+212,🇲🇦
Mozambique,Мозамбик,+258,🇲🇿
Myanmar,Мьянма,+95,🇲🇲
Namibia,Намибия,+264,🇳🇦
Nauru,Науру,+674,🇳🇷
Nepal,Непал,+977,🇳🇵
Netherlands,Нидерланды,+31,🇳🇱
Netherlands Antilles,Нидерландские антиллы,+599,🇳🇱
New Caledonia,Новая каледония,+687,🇳🇨
New Zealand,Новая зеландия,+64,🇳🇿
Nicaragua,Никарагуа,+505,🇳🇮
Niger,Нигер,+227,🇳🇪
Nigeria,Нигерия,+234,🇳🇬
Niue,Ниуэ,+683,🇳🇺
Norfolk Island,Норфолкские острова,+672,🇳🇫
